sr_no,date,startup_name,industry_vertical,subvertical,city__location,investors_name,investmentntype,amount_in_usd
1498,31-08-2016,Flyrobe,Online fashion rental platform,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,5300000.0
1499,31-08-2016,inclov,Matchmaking App for Disabled,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,324500.0
1500,01-07-2016,RazorPay,Online Payment Gateway,Online Payment Gateway,Bangalore,MasterCard,Private Equity,5925000.0
1501,01-07-2016,DarwinBox,HR Software Services Startup,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,324500.0
1502,01-07-2016,Venture Catalysts,Seed Investment & Innovation Platform,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,500000.0
1503,01-07-2016,PressPlay TV,Video Content Discovery Platform,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,5925000.0
1504,02-07-2016,Playment,Mobile Marketplace for Crowdsourced Work,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,700000.0
1505,04-07-2016,WealthTrust,Wealth Management App,Wealth Management App,Mumbai,India Quotient,Seed Funding,324500.0
1506,04-07-2016,Curefit,Online Preventive Healthcare Platform,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,15000000.0
1507,04-07-2016,StitchWood,Custom Furniture Online,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,200000.0
1508,04-07-2016,Grab.in,hyperlocal logistics service,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,2000000.0
1509,04-07-2016,Fulfil.IO,Cloud Based ERP Software,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,324500.0
1510,04-07-2016,NeoGrowth,SME Lending platform,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000.0
1511,05-07-2016,SeeDoc,Video Based Doctor Consulting platform App,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,1000000.0
1512,05-07-2016,BookMyShow,Event & Movie Ticketing platform,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,82000000.0
1513,05-07-2016,Flyrobe,Online fashion rental platform,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,1700000.0
1514,06-07-2016,HappilyUnmarried,Online Merchandize etailer,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,740000.0
1515,06-07-2016,Don\\xe2\\x80\\x99t Scratch Your Head,Full Stack Offline & Online ERP Solution,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000.0
1516,06-07-2016,Wedding Wishlist,"Wedding Wishlist, Gifts & Registry Creation platform","Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,297000.0
1517,07-07-2016,AppDaily,Mobile Security App development & Distribution,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000.0
1518,07-07-2016,Adytude,Gamified Consumer Insights Portal,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,1000000.0
1519,07-07-2016,Quickli,On-Demand Delivery Startup,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,5925000.0
1520,07-07-2016,SpectraVR,Virtual Reality Content Studio,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,324500.0
1521,08-07-2016,Pitstop,Online Car Repair and Servicing Booking platform,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,324500.0
1522,08-07-2016,HolaChef,Online Food Ordering & Delivery Platform,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000.0
1523,11-07-2016,Purplle,Beauty Products Marketplace,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,6000000.0
1524,11-07-2016,Trak N Tell,Car Tracking & Safety System,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,3500000.0
1525,11-07-2016,Overcart.com,Unboxed & refurbished electronic products marketplace,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000.0
1526,12-07-2016,SirionLabs,SAAS based Service Agreement Management,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,12250000.0
1527,12-07-2016,GyanDhan,Education Focused Financing Platform,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,324500.0
1528,12-07-2016,MintM,Digital Marketing & AdTech Platform,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,\\xc2\\xa0 Times Internet",Private Equity,5925000.0
1529,12-07-2016,HitGrit,Online Legal Consultation platform,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,324500.0
1530,12-07-2016,Find My Stay,Online Budget Hotel Aggregator & Booking Platform,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,324500.0
1531,13-07-2016,YAAP,"Online Content Discovery, Creation & Distribution Platform","Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,5000000.0
1532,13-07-2016,Utoo Cabs,Cab aggregation & Rental platform,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,324500.0
1533,13-07-2016,Twigly,Online Food Ordering & Delivery Startup,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,600000.0
1534,13-07-2016,ShareChat,Vernacular Language Content Creation & Sharing App,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,1350000.0
1535,13-07-2016,Urban Tailor,E-Tailoring service provider,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,5925000.0
1536,13-07-2016,RentMojo,Online Furniture Renting Platform,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,5000000.0
1537,13-07-2016,CityFurnish,Online Furniture Renting Platform,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,324500.0
1538,13-07-2016,HEAL Institute,Sports Focused Healthcare Startup,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,324500.0
1539,14-07-2016,Augrav,Personalized precious Jewellery etailer,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,450000.0
1540,14-07-2016,ShoppinPal,M-Commerce Solutions for Retail Stores,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000.0
1541,14-07-2016,TransTutors / AskIITians,Online Education & Tutoring portals,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,5925000.0
1542,15-07-2016,WorkApps,Enterprise Work Management Software,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,1000000.0
1543,15-07-2016,BankerBay,Online Investment Banking platform,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,2000000.0
1544,15-07-2016,BaggOut,Women\\xe2\\x80\\x99s Fashion etailer,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,324500.0
1545,15-07-2016,TripShelf,Travel Package Marketplace,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,250000.0
1546,15-07-2016,SatvaCart,Online Grocers,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,324500.0
1547,15-07-2016,Ridlr,Public Transport Mobile App,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,6000000.0
1548,18-07-2016,Yellowdig,Online Learning Platform,Online Learning Platform,Pune,SRI Capital,Seed Funding,650000.0
1549,18-07-2016,Zuppler,Online Food Ordering platform,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,650000.0
1550,18-07-2016,BlueStone,Jewellery Etailer,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,30000000.0
1551,18-07-2016,underDOGS,Game Development Startup,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,5925000.0
1552,18-07-2016,ImageProVision,Image Analysis Solutions,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,324500.0
1553,19-07-2016,Sagacito,Cloud-Based Enterprise Solutions,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,10000000.0
1554,19-07-2016,Deal4Loans / Wishfin,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000.0
1555,19-07-2016,NiYO Solutions,Payroll & Benefits Software solutions,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,1000000.0
1556,19-07-2016,AppLop,Mobile Apps SaaS Platform,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,250000.0
1557,20-07-2016,Tax2Win,Online Tax Filing Portal,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,1000000.0
1558,20-07-2016,Truckola,Tech-focused cargo transport startup,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,595000.0
1559,20-07-2016,iServe Financial,Loan Comparison & Deals platform,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,324500.0
1560,21-07-2016,MyTaxiIndia,Online Car rental booking platform,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,1000000.0
1561,21-07-2016,AbeRuk,Online Marketplace for books,Online Marketplace for books,Bangalore,Swastika Company Pvt Ltd,Seed Funding,324500.0
1562,21-07-2016,Wiwigo,Inter-City Taxi Booking platform,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,595000.0
1564,01-06-2016,Chikoop,Free Ad based Voice Calling,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,324500.0
1565,01-06-2016,BRIDGEi2I,Data Analytics Platform,Data Analytics Platform,Bangalore,Edelweiss Private Equity,Private Equity,5925000.0
1566,02-06-2016,Droom,Online marketplace for used automobiles,Online marketplace for used automobiles,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,5925000.0
1567,02-06-2016,Visit,On-Demand Healthcare Service provider,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Funding,324500.0
1568,02-06-2016,Atomberg,"smart, energy efficient home appliance manufacturer","smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,1000000.0
1569,02-06-2016,Coutloot,Fashion Re-Commerce Platform,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,324500.0
1570,02-06-2016,Limo,Bus Aggregator Mobile app,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,1000000.0
1571,03-06-2016,iCliniq,Doctor Consultation platform,Doctor Consultation platform,Bangalore,MadhanKumar Madathupalayam,Seed Funding,324500.0
1572,03-06-2016,GoGo Truck,Truck Aggregator & Booking platform,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,75000.0
1573,03-06-2016,Vyome Biosciences,Treatment Development for Antibiotic-resistant diseases,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,2000000.0
1574,06-06-2016,SillyMonks,Digital Media and Entertainment Startup,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,448000.0
1575,07-06-2016,CueMath,K-12 Maths Learning Courses,K-12 Maths Learning Courses,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,4000000.0
1576,07-06-2016,KrazyBee,Student Micro-Loan platform,Student Micro-Loan platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,2000000.0
1577,07-06-2016,Intgrea,Post merger Integration Partners,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,100000.0
1578,07-06-2016,HelpShift,Mobile CRM Platform,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,23000000.0
1579,07-06-2016,CreditVidya,Credit Scoring Platform,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,1000000.0
1580,08-06-2016,Grey Campus,Online Learning Platform,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,1000000.0
1581,08-06-2016,ListUp,Location based Classified Mobile app,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,500000.0
1582,08-06-2016,6Degree,Tech-enabled Fashion Talent platform,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,200000.0
1583,08-06-2016,Shopwati,Online Fashion Discussion Community,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,324500.0
1584,08-06-2016,Cookifi,Online Chef Discovery & Booking Service,Online Chef Discovery & Booking Service,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,324500.0
1585,08-06-2016,StoreKing,Connecting Small Town Consumers to E-Commerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Private Equity,16000000.0
1586,08-06-2016,Wired Hub,Co-Working Spaces,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,324500.0
1587,08-06-2016,MySeniorDoctor,Online medical support platform,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,200000.0
1588,09-06-2016,Teabox,Online Tea Store,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,324500.0
1589,09-06-2016,ExtraaEdge,Student Acquisition Platform,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,324500.0
1590,09-06-2016,EPayLater,Fin-Tech Platform,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,2000000.0
1591,10-06-2016,Kyazoonga,Online event ticketing Platform,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Funding,324500.0
1592,10-06-2016,Paytunes,Mobile based rewards platform,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,500000.0
1593,10-06-2016,Kickstart Jobs,Entry level hiring platform,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,324500.0
1594,10-06-2016,Freshee,Household packaging & Storage product manufacturer,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private Equity,Private Equity,5925000.0
1595,10-06-2016,MadRat Games,Wearable Gaming Platform,Wearable Gaming Platform,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,324500.0
1596,11-06-2016,Jazzmyride,Auto Parts & Accessories eTailer,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile Solutions Ltd,Private Equity,5925000.0
1597,11-06-2016,AutoSense,Data Analytics based Customer Management Services,Data Analytics based Customer Management Services,New Delhi,TVS Automobile Solutions Ltd,Private Equity,5925000.0
1598,11-06-2016,Redsun Telematics,Internet of Things Platform,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Private Equity,5925000.0
1599,13-06-2016,KhanaGadi,Online Food Delivery for Train Travelers,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed Funding,324500.0
1600,13-06-2016,Bombay Shirt Company,Online custom Shirt retailer,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,1000000.0
1601,13-06-2016,Matrubharti,e-Book Publisher,e-Book Publisher,Unknown,Viridian Capital,Seed Funding,30000.0
1602,14-06-2016,EdTechReview,Education based online portal,Education based online portal,New Delhi,EVC Ventures,Seed Funding,324500.0
1603,14-06-2016,Bonhomia,Premium Tea & Coffee Capsules maker,Premium Tea & Coffee Capsules maker,New Delhi,Valpro Capital and existing investors,Private Equity,5925000.0
1604,14-06-2016,Gobolt,B2B Logistics provider,B2B Logistics provider,New Delhi,MCube8,Seed Funding,324500.0
1605,14-06-2016,Jivox,Data Driven Advertising platform,Data Driven Advertising platform,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,6000000.0
1606,14-06-2016,Sminq,Queue management Mobile app,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,1000000.0
1607,14-06-2016,CureJoy,Online Alternative health community platform,Online Alternative health community platform,Bangalore,Accel Partners India,Private Equity,4400000.0
1608,15-06-2016,Oneway.cab,Taxi Rental Platform,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,450000.0
1609,15-06-2016,GrabOnRent,On-demand product rental marketplace,On-demand product rental marketplace,Bangalore,IvyCap Ventures and Unicorn India Ventures,Private Equity,5925000.0
1610,16-06-2016,Diro Labs,Contact Management Mobile App,Contact Management Mobile App,New Delhi,Info Edge (India) Ltd,Private Equity,450000.0
1611,16-06-2016,Unnati Helpers,Help Hiring Platform,Help Hiring Platform,Gurgaon,Info Edge (India) Ltd,Private Equity,600000.0
1612,16-06-2016,Athletto,Sports Venue discovery and booking platform,Sports Venue discovery and booking platform,Bangalore,Atul Ingle,Seed Funding,324500.0
1613,16-06-2016,Saavn,Web/Mobile Music Streaming service,Web/Mobile Music Streaming service,USA,Guy Oseary,Private Equity,5925000.0
1614,16-06-2016,Voonik,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,Sequoia Capital,Private Equity,20000000.0
1615,16-06-2016,ThinkPhi,Sustainable Green Tech Solution developer,Sustainable Green Tech Solution developer,Mumbai,Nimmagadda Prasad,Seed Funding,324500.0
1616,17-06-2016,Cleartax,Online Tax Filing Platform,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,12000000.0
1617,17-06-2016,Silvan Innovation Labs,Home Automation Solutions,Home Automation Solutions,Bangalore,Infuse Ventures,Private Equity,900000.0
1618,17-06-2016,GreytHR,Payroll & HR Software Developer,Payroll & HR Software Developer,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,5200000.0
1619,17-06-2016,Duffl,Fashion Rental Marketplace,Fashion Rental Marketplace,Bangalore,BetOnIndia Technology Pvt Ltd,Seed Funding,324500.0
1620,17-06-2016,BYG,Fitness centre Discovery & Booking Mobile app,Fitness centre Discovery & Booking Mobile app,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,324500.0
1621,20-06-2016,Dipper,Freight Logistics Marketplace,Freight Logistics Marketplace,New Delhi,Undisclosed investor,Seed Funding,324500.0
1622,20-06-2016,Qonfuse,Online Test Papers for competitive exams,Online Test Papers for competitive exams,New Delhi,Hamraj Kumar,Seed Funding,324500.0
1623,20-06-2016,The Indian IRIS,Govt Policy Research & Information portal,Govt Policy Research & Information portal,Ahmedabad,Timbru Ventures,Seed Funding,324500.0
1624,21-06-2016,Onspoon,Online Platform for Event Sponsorship,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,150000.0
1625,21-06-2016,REstate,Real Estate Platform,Real Estate Platform,Bangalore,Idein Ventures,Seed Funding,324500.0
1626,21-06-2016,Cleartrip,Online Travel Agency,Online Travel Agency,Mumbai,"Concur Technologies, Gund Investment",Private Equity,5925000.0
1627,21-06-2016,ProcMart,Online Procurement Marketplace,Online Procurement Marketplace,Noida,IndiaMart,Private Equity,5925000.0
1628,21-06-2016,Celerix,Fintech Product Development & Services Startup,Fintech Product Development & Services Startup,Bangalore,Bitkemy Ventures,Seed Funding,400000.0
1629,21-06-2016,NatureNama,Online Outdoors & travel,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding,225000.0
1630,21-06-2016,CyclopsMedtech,Medical Technology Provider,Medical Technology Provider,Bangalore,CP Bothra,Seed Funding,324500.0
1631,21-06-2016,Syona Cosmetics,Beauty Products & Training to Salons & Spas,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding,150000.0
1632,21-06-2016,PrettySecrets,Women Lingerie Store,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,6000000.0
1633,22-06-2016,SpiderG,Online invoice app for SMEs,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,150000.0
1634,23-06-2016,FarEye,Logistics Management Software,Logistics Management Software,New Delhi,Saif Partners,Private Equity,3500000.0
1635,23-06-2016,The Uolo,School Parent Communication App,School Parent Communication App,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,210000.0
1636,23-06-2016,Staqu,Artificial Intelligence based search platform,Artificial Intelligence based search platform,Gurgaon,Indian Angel Network,Seed Funding,324500.0
1637,23-06-2016,Padhopadhao,Home Tutors search & Discovery,Home Tutors search & Discovery,New Delhi,Rise India,Private Equity,5925000.0
1638,24-06-2016,Drivify,Professional Driver discovery & Booking Mobile app,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,50000.0
1639,24-06-2016,PratiLipi,Multi-Lingual self-publishing platform,Multi-Lingual self-publishing platform,Bangalore,Nexus Venture Partners,Seed Funding,324500.0
1640,24-06-2016,ParaBlu,Cloud Data Security & Privacy Solutions,Cloud Data Security & Privacy Solutions,Bangalore,Kalaari Capital,Seed Funding,500000.0
1641,24-06-2016,Schedulers Logistics,Cold Storage Logistics solutions,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,6000000.0
1642,24-06-2016,LEAP India,Supply Chain Equipment & Services provider,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Private Equity,3000000.0
1643,24-06-2016,KabadiExpress,Free Door Step Scrap Pickup Service,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed Funding,148000.0
1644,27-06-2016,YourDost,Online counselling & Personal coaching platform,Online counselling & Personal coaching platform,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,1200000.0
1645,27-06-2016,Gomalon,Online Spa & Salon discovery & Booking platform,Online Spa & Salon discovery & Booking platform,Bangalore,Undisclosed investor,Seed Funding,100000.0
1646,27-06-2016,Voler Cars,Self-Driven Car rental platform,Self-Driven Car rental platform,New Delhi,"Kanodia family, Amit Banka",Seed Funding,324500.0
1647,27-06-2016,Travelyaari,Online ticket booking platform,Online ticket booking platform,Bangalore,GVFL Ltd,Private Equity,3000000.0
1648,28-06-2016,FabHotels,Online Hotel aggregator & Booking platform,Online Hotel aggregator & Booking platform,Gurgaon,"Accel Partners, RB Investments",Private Equity,8000000.0
1649,28-06-2016,Locanix,GPS based SaaS Solutions,GPS based SaaS Solutions,Ahmedabad,Undisclosed investors,Seed Funding,300000.0
1650,28-06-2016,LendingKart,Online Working Capital Business Loans Platform,Online Working Capital Business Loans Platform,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,32000000.0
1651,28-06-2016,Hello Tax,Online Tax Filing Platform,Online Tax Filing Platform,New Delhi,Sanjeev Sinha,Seed Funding,295000.0
1652,28-06-2016,MySuperBrain,Online Talent Discovery Platform for Kids,Online Talent Discovery Platform for Kids,Hyderabad,Soniks Consulting,Seed Funding,324500.0
1653,28-06-2016,BlogBeats,Online Blogging Platform,Online Blogging Platform,Bangalore,Undisclosed Investor,Seed Funding,324500.0
1654,29-06-2016,LetReach,ECommerce SAAS Solutions,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,100000.0
1655,29-06-2016,TrendieApp,Visual Content Marketing,Visual Content Marketing,Kolkata,Harsh Vardhan Hada,Seed Funding,50000.0
1656,29-06-2016,ImpactGuru,Crowdfunding Platform,Crowdfunding Platform,Mumbai,Piyush Jain,Seed Funding,324500.0
1657,29-06-2016,Velvetcase,Online designer jewellery marketplace,Online designer jewellery marketplace,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,1500000.0
1658,30-06-2016,Meru Cabs,Online/ Mobile Tax Cab booking,Online/ Mobile Tax Cab booking,Mumbai,Brand Capital,Private Equity,25000000.0
1659,30-06-2016,Campus Diaries,Student focussed Content Discovery portal,Student focussed Content Discovery portal,Bangalore,Aarin Capital,Seed Funding,220000.0
1660,30-06-2016,Scripbox,Online Mutual Fund Investment platform,Online Mutual Fund Investment platform,Bangalore,"Omidyar Network, Accel Partners & existing investors",Private Equity,5925000.0
1661,30-06-2016,Biryani Blues,QSR Chain,QSR Chain,Gurgaon,Carpediem Capital & Others,Private Equity,368000.0
1662,01-05-2016,MotoMojo,Mobile based Vehicle maintenance App,Mobile based Vehicle maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,324500.0
1663,01-05-2016,Get My Parking,Parking Technology Platform,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,376000.0
1664,01-05-2016,Prescribez,Health Service Aggregator Platform,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,145000.0
1665,02-05-2016,Airwood,Agri Data & Analytics Platform,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed Funding,324500.0
1666,03-05-2016,Mobikwik,Mobile & Digital Wallet,Mobile & Digital Wallet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,50000000.0
1667,03-05-2016,iDreamCareer,Career Planning Services Portal,Career Planning Services Portal,New Delhi,Brand Capital,Private Equity,5925000.0
1668,03-05-2016,Zwayam,Online Recruitment Platform,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding,250000.0
1669,03-05-2016,BoiBanit,Online Food Delivery platform,Online Food Delivery platform,Vadodara,Undisclosed investors,Seed Funding,324500.0
1670,03-05-2016,Zuver,Car driver Discovery App,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,180000.0
1671,03-05-2016,Prepathon,Competitive Exam learning platform,Competitive Exam learning platform,Mumbai,Blume Ventures,Private Equity,5925000.0
1672,04-05-2016,EasyRoads,Road Trip planning Mobile app,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,200000.0
1673,04-05-2016,Lenskart,Eyewear & Accessories etailer,Eyewear & Accessories etailer,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,60000000.0
1674,04-05-2016,Seclore,Enterprise Security Technology platform,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,12000000.0
